n,clave,huella,empresa,fuente,token,id_externo,titulo,ubicacion,url,publicada,descubierta,cerrada,prefiltro,motivo,tipo_rol,puntaje,desglose,banderas,estado,notificada
1,greenhouse:sezzle:7903264003,sezzle:accountant,Sezzle,greenhouse,sezzle,7903264003,Accountant,"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7903264003,2026-08-19T14:39:54-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
2,greenhouse:sezzle:7905542003,sezzle:accountant,Sezzle,greenhouse,sezzle,7905542003,Accountant,"Chile, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7905542003,2026-08-19T14:57:46-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
3,greenhouse:sezzle:7903949003,sezzle:accountant,Sezzle,greenhouse,sezzle,7903949003,Accountant,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7903949003,2026-08-19T14:39:56-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
4,greenhouse:sezzle:7903948003,sezzle:accountant,Sezzle,greenhouse,sezzle,7903948003,Accountant,"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7903948003,2026-08-19T14:39:56-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
5,greenhouse:sezzle:7903933003,sezzle:accountant,Sezzle,greenhouse,sezzle,7903933003,Accountant,"Argentina, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7903933003,2026-08-19T14:39:55-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
6,greenhouse:sezzle:7903920003,sezzle:accountant,Sezzle,greenhouse,sezzle,7903920003,Accountant,Latin America,https://job-boards.greenhouse.io/sezzle/jobs/7903920003,2026-08-19T14:39:54-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
7,greenhouse:sezzle:7980309003,sezzle:aiengineeringintern,Sezzle,greenhouse,sezzle,7980309003,A.I. Engineering Intern,Latin America,https://job-boards.greenhouse.io/sezzle/jobs/7980309003,2026-08-28T09:51:09-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,4.5,"stack 3.4 (bruto 8.5) | seniority 4 (intern, desarrollo) | contexto 8",,nueva,
8,greenhouse:sezzle:7979992003,sezzle:aiengineeringintern,Sezzle,greenhouse,sezzle,7979992003,A.I. Engineering Intern,"Chile, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7979992003,2026-08-28T09:51:04-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
9,greenhouse:sezzle:7980003003,sezzle:aiengineeringintern,Sezzle,greenhouse,sezzle,7980003003,A.I. Engineering Intern,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7980003003,2026-08-28T09:51:06-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
10,greenhouse:sezzle:7980015003,sezzle:aiengineeringintern,Sezzle,greenhouse,sezzle,7980015003,A.I. Engineering Intern,"Brazil, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7980015003,2026-08-28T09:51:07-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
11,greenhouse:sezzle:7906563003,sezzle:aiengineeringintern,Sezzle,greenhouse,sezzle,7906563003,AI Engineering Intern,Peru,https://job-boards.greenhouse.io/sezzle/jobs/7906563003,2026-08-19T16:27:34-04:00,2026-09-21T16:33:41-05:00,,no,ubicacion fuera de Colombia/LATAM/remoto global,desarrollo,,,,nueva,
12,greenhouse:sezzle:7750230003,sezzle:aiengineeringinterncolombia,Sezzle,greenhouse,sezzle,7750230003,A.I. Engineering Intern (Colombia),"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7750230003,2026-05-27T17:21:06-04:00,2026-09-21T16:33:41-05:00,,si,ubicacion compatible,desarrollo,4.5,"stack 3.4 (bruto 8.5) | seniority 4 (intern, desarrollo) | contexto 8",,nueva,
13,greenhouse:sezzle:7855067003,sezzle:amlcomplianceanalyst,Sezzle,greenhouse,sezzle,7855067003,AML Compliance Analyst,"Bogota, Colombia",https://job-boards.greenhouse.io/sezzle/jobs/7855067003,2026-08-11T13:31:09-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
14,greenhouse:sezzle:7855069003,sezzle:amlcomplianceanalyst,Sezzle,greenhouse,sezzle,7855069003,AML Compliance Analyst,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7855069003,2026-08-11T13:32:52-04:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,desarrollo,,,,nueva,
15,greenhouse:sezzle:7625551003,sezzle:chargebackoperationsanalyst,Sezzle,greenhouse,sezzle,7625551003,Chargeback Operations Analyst,"Mexico, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7625551003,2026-02-09T16:22:29-05:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
16,greenhouse:sezzle:7625553003,sezzle:chargebackoperationsanalyst,Sezzle,greenhouse,sezzle,7625553003,Chargeback Operations Analyst,"Colombia, Remote",https://job-boards.greenhouse.io/sezzle/jobs/7625553003,2026-02-09T16:22:30-05:00,2026-09-21T16:33:41-05:00,,no,titulo fuera de perfil,automatizacion,,,,nueva,
