empresa,fuente,token,activa,nota
Sezzle,greenhouse,sezzle,si,fintech; contrata Colombia y LATAM
Nimble Gravity,greenhouse,nimblegravity,si,consultora; LATAM remoto
Backblaze,greenhouse,backblaze,si,Remote - Colombia
NinjaTrader,greenhouse,ninjatrader,si,trading; casi todo EE. UU.
Remote.com,greenhouse,remotecom,si,EOR; roles Remote-AMER
Clara,greenhouse,clara,si,fintech; Bogota
Twilio,greenhouse,twilio,si,Remote - Colombia
Wizeline,greenhouse,wizeline,si,Colombia
Factored,greenhouse,factored,si,Colombia y LATAM
Cobre,greenhouse,cobre,si,fintech colombiana; LATAM
Canonical,greenhouse,canonical,si,Home based - Worldwide / Americas
GitLab,greenhouse,gitlab,si,todo remoto
Turing,greenhouse,turing,si,Colombia
Nubank,ashby,nubank,si,se mudo de Greenhouse a Ashby; Bogota
Addi,ashby,addi,si,fintech; Colombia
Supabase,ashby,supabase,si,Remote Global / AMER
PostHog,ashby,posthog,si,todo remoto
Resend,ashby,resend,si,Americas
Zapier,ashby,zapier,si,automatizacion; LATAM
Oyster,ashby,oyster,si,EOR; incluye Colombia
n8n,ashby,n8n,si,empresa objetivo aunque hoy contrate en Europa
Mural,ashby,mural,si,casi todo Argentina
Prefect,ashby,prefect,si,orquestacion; remoto
Buffer,ashby,buffer,si,todo remoto
Yuno,lever,yuno,si,pagos; Bogota y LATAM
Toptal,lever,toptal,si,red freelance; South America
dLocal,lever,dlocal,si,pagos LATAM
CI&T,lever,ciandt,si,Colombia
Bitso,greenhouse,bitso,no,board devuelve 404 desde sep-2026
Runa,ashby,runa,no,token es de otra empresa (Londres)
